DEPP;CODCOMP;COMP;Commune pôle;DEP;CODCOM;COM;Commune;PMUN;PCAP;PTOT
04;120;04120;Val d'Oronaye;04;120;04120;Meyronnes;58;2;60
04;124;04124;Montagnac-Montpezat;04;131;04131;Montpezat;34;0;34
04;204;04204;Senez;04;153;04153;Le Poil;5;0;5
04;023;04023;Bayons;04;165;04165;Reynier;14;0;14
04;033;04033;Ubaye-Serre-Ponçon;04;198;04198;Saint-Vincent-les-Forts;393;7;400
05;001;05001;Abriès-Ristolas;05;001;05001;Abriès;285;6;291
05;118;05118;Val Buëch-Méouge;05;005;05005;Antonaves;141;2;143
05;132;05132;Saint-Bonnet-en-Champsaur;05;020;05020;Bénévent-et-Charbillac;291;10;301
05;024;05024;Valdoule;05;024;05024;Bruis;80;5;85
05;118;05118;Val Buëch-Méouge;05;034;05034;Châteauneuf-de-Chabre;366;7;373
05;132;05132;Saint-Bonnet-en-Champsaur;05;067;05067;Les Infournas;29;0;29
05;024;05024;Valdoule;05;088;05088;Montmorin;84;1;85
05;118;05118;Val Buëch-Méouge;05;118;05118;Ribiers;812;17;829
05;001;05001;Abriès-Ristolas;05;120;05120;Ristolas;97;0;97
05;061;05061;Gap;05;125;05125;Romette;1681;60;1741
05;132;05132;Saint-Bonnet-en-Champsaur;05;132;05132;Saint-Bonnet-en-Champsaur;1760;57;1817
05;024;05024;Valdoule;05;150;05150;Sainte-Marie;49;0;49
07;011;07011;Vallées-d'Antraigues-Asperjoc;07;011;07011;Antraigues-sur-Volane;498;8;506
07;011;07011;Vallées-d'Antraigues-Asperjoc;07;016;07016;Asperjoc;360;9;369
07;334;07334;Les Vans;07;043;07043;Brahic;89;1;90
07;031;07031;Berrias-et-Casteljau;07;046;07046;Casteljau;325;6;331
07;334;07334;Les Vans;07;057;07057;Chassagnes;188;2;190
07;262;07262;Saint-Laurent-les-Bains-Laval-d'Aurelle;07;135;07135;Laval-d'Aurelle;28;0;28
07;334;07334;Les Vans;07;164;07164;Naves;553;17;570
07;165;07165;Belsentes;07;165;07165;Nonières;213;8;221
07;284;07284;Saint-Pierre-Saint-Jean;07;246;07246;Saint-Jean-de-Pourcharesse;81;1;82
07;165;07165;Belsentes;07;256;07256;Saint-Julien-Labrousse;334;14;348
07;262;07262;Saint-Laurent-les-Bains-Laval-d'Aurelle;07;262;07262;Saint-Laurent-les-Bains;152;2;154
08;116;08116;Bairon et ses environs;08;007;08007;Les Alleux;77;2;79
08;311;08311;Mouzon;08;009;08009;Amblimont;212;1;213
08;437;08437;Tailly;08;012;08012;Andevanne;17;0;17
08;173;08173;Flize;08;042;08042;Balaives-et-Butz;202;7;209
08;437;08437;Tailly;08;050;08050;Barricourt;63;1;64
08;069;08069;Blanchefosse-et-Bay;08;051;08051;Bay;53;1;54
08;053;08053;Bazeilles;08;053;08053;Bazeilles;1885;163;2048
08;490;08490;Vouziers;08;068;08068;Blaise;136;1;137
08;491;08491;Vrigne aux Bois;08;072;08072;Bosseval-et-Briancourt;394;7;401
08;173;08173;Flize;08;079;08079;Boutancourt;278;13;291
08;057;08057;Belleville-et-Châtillon-sur-Bar;08;112;08112;Châtillon-sur-Bar;112;2;114
08;115;08115;Chémery-Chéhéry;08;114;08114;Chéhéry;112;0;112
08;115;08115;Chémery-Chéhéry;08;115;08115;Chémery-sur-Bar;411;4;415
08;116;08116;Bairon et ses environs;08;116;08116;Le Chesne;880;15;895
08;145;08145;Douzy;08;145;08145;Douzy;1914;33;1947
08;173;08173;Flize;08;152;08152;Élan;87;2;89
08;173;08173;Flize;08;173;08173;Flize;1128;23;1151
08;189;08189;Girondelle;08;177;08177;Foulzy;64;0;64
08;198;08198;Grandpré;08;198;08198;Grandpré;388;12;400
08;366;08366;Rocquigny;08;213;08213;La Hardoye;70;1;71
08;113;08113;Chaumont-Porcien;08;258;08258;Logny-lès-Chaumont;26;0;26
08;116;08116;Bairon et ses environs;08;261;08261;Louvergny;65;2;67
08;366;08366;Rocquigny;08;265;08265;Mainbresson;93;0;93
08;366;08366;Rocquigny;08;266;08266;Mainbressy;120;1;121
08;145;08145;Douzy;08;267;08267;Mairy;252;6;258
08;328;08328;Nouzonville;08;285;08285;Meillier-Fontaine;45;1;46
08;311;08311;Mouzon;08;311;08311;Mouzon;2022;38;2060
08;362;08362;Rethel;08;337;08337;Pargny-Resson;225;2;227
08;333;08333;Olizy-Primat;08;345;08345;Primat;34;3;37
08;437;08437;Tailly;08;359;08359;Rémonville;57;4;61
08;053;08053;Bazeilles;08;371;08371;Rubécourt-et-Lamécourt;137;4;141
08;198;08198;Grandpré;08;441;08441;Termes;120;5;125
08;490;08490;Vouziers;08;443;08443;Terron-sur-Aisne;136;1;137
08;053;08053;Bazeilles;08;475;08475;Villers-Cernay;343;10;353
08;490;08490;Vouziers;08;490;08490;Vouziers;3426;114;3540
08;491;08491;Vrigne aux Bois;08;491;08491;Vrigne-aux-Bois;3146;44;3190
08;490;08490;Vouziers;08;493;08493;Vrizy;318;8;326
08;113;08113;Chaumont-Porcien;08;495;08495;Wadimont;52;1;53
09;296;09296;Aulos-Sinsat;09;028;09028;Aulos;54;1;55
09;306;09306;Tarascon-sur-Ariège;09;036;09036;Banat;111;0;111
09;056;09056;Bézac;09;056;09056;Bézac;425;11;436
09;062;09062;Bordes-Uchentein;09;062;09062;Les Bordes-sur-Lez;194;6;200
09;334;09334;Val-de-Sos;09;135;09135;Goulier;48;0;48
09;056;09056;Bézac;09;255;09255;Saint-Amans;42;0;42
09;334;09334;Val-de-Sos;09;286;09286;Sem;22;0;22
09;296;09296;Aulos-Sinsat;09;296;09296;Sinsat;99;1;100
09;334;09334;Val-de-Sos;09;302;09302;Suc-et-Sentenac;53;0;53
09;062;09062;Bordes-Uchentein;09;317;09317;Uchentein;19;0;19
09;334;09334;Val-de-Sos;09;334;09334;Vicdessos;420;63;483
10;003;10003;Aix-Villemaur-Pâlis;10;003;10003;Aix-en-Othe;2266;23;2289
10;058;10058;Bragelogne-Beauvoir;10;036;10036;Beauvoir-sur-Sarce;59;0;59
10;003;10003;Aix-Villemaur-Pâlis;10;277;10277;Palis;709;8;717
10;148;10148;Ferreux-Quincey;10;311;10311;Quincey;93;1;94
10;003;10003;Aix-Villemaur-Pâlis;10;415;10415;Villemaur-sur-Vanne;462;11;473
11;304;11304;Quillan;11;050;11050;Brenac;220;1;221
11;323;11323;Roquetaillade-et-Conilhac;11;097;11097;Conilhac-de-la-Montagne;67;0;67
11;131;11131;Val-du-Faby;11;131;11131;Fa;356;9;365
11;080;11080;Val de Lambronne;11;171;11171;Gueytes-et-Labastide;30;1;31
11;251;11251;Val-de-Dagne;11;251;11251;Montlaur;542;11;553
11;251;11251;Val-de-Dagne;11;298;11298;Pradelles-en-Val;192;5;197
11;323;11323;Roquetaillade-et-Conilhac;11;323;11323;Roquetaillade;204;3;207
11;131;11131;Val-du-Faby;11;329;11329;Rouvenac;226;5;231
11;128;11128;Escueillens-et-Saint-Just-de-Bélengard;11;349;11349;Saint-Just-de-Bélengard;59;1;60
12;224;12224;Saint Geniez d'Olt et d'Aubrac;12;014;12014;Aurelle-Verlac;135;0;135
12;021;12021;Le Bas Ségala;12;021;12021;La Bastide-l'Évêque;755;17;772
12;270;12270;Sévérac d'Aveyron;12;040;12040;Buzeins;204;5;209
12;076;12076;Conques-en-Rouergue;12;076;12076;Conques;237;9;246
12;177;12177;Palmas d'Aveyron;12;081;12081;Coussergues;255;6;261
12;177;12177;Palmas d'Aveyron;12;087;12087;Cruéjouls;405;4;409
12;076;12076;Conques-en-Rouergue;12;114;12114;Grand-Vabre;365;14;379
12;270;12270;Sévérac d'Aveyron;12;123;12123;Lapanouse;761;51;812
12;270;12270;Sévérac d'Aveyron;12;126;12126;Lavernhe;216;6;222
12;257;12257;Causse-et-Diège;12;132;12132;Loupiac;419;10;429
12;076;12076;Conques-en-Rouergue;12;173;12173;Noailhac;148;5;153
12;177;12177;Palmas d'Aveyron;12;177;12177;Palmas;366;6;372
12;270;12270;Sévérac d'Aveyron;12;196;12196;Recoules-Prévinquières;463;8;471
12;076;12076;Conques-en-Rouergue;12;218;12218;Saint-Cyprien-sur-Dourdou;823;26;849
12;224;12224;Saint Geniez d'Olt et d'Aubrac;12;224;12224;Saint-Geniez-d'Olt;2057;32;2089
12;021;12021;Le Bas Ségala;12;245;12245;Saint-Salvadou;390;6;396
12;270;12270;Sévérac d'Aveyron;12;270;12270;Sévérac-le-Château;2418;43;2461
12;021;12021;Le Bas Ségala;12;285;12285;Vabre-Tizac;448;7;455
14;150;14150;Cesny-les-Sources;14;002;14002;Acqueville;216;0;216
14;005;14005;Valambray;14;005;14005;Airan;648;12;660
14;011;14011;Aurseulles;14;011;14011;Anctoville;432;3;435
14;150;14150;Cesny-les-Sources;14;013;14013;Angoville;23;1;24
14;027;14027;Les Monts d'Aunay;14;027;14027;Aunay-sur-Odon;3168;35;3203
14;371;14371;Livarot-Pays-d'Auge;14;028;14028;Auquainville;289;6;295
14;371;14371;Livarot-Pays-d'Auge;14;029;14029;Les Autels-Saint-Bazile;48;0;48
14;431;14431;Mézidon Vallée d'Auge;14;031;14031;Les Authieux-Papion;62;1;63
14;035;14035;Balleroy-sur-Drôme;14;035;14035;Balleroy;912;73;985
14;231;14231;Beaufour-Druval;14;051;14051;Beaufour;160;6;166
14;061;14061;Souleuvre en Bocage;14;052;14052;Beaulieu;193;4;197
14;027;14027;Les Monts d'Aunay;14;056;14056;Bauquay;284;6;290
14;371;14371;Livarot-Pays-d'Auge;14;058;14058;Bellou;133;1;134
14;061;14061;Souleuvre en Bocage;14;061;14061;Le Bény-Bocage;992;25;1017
14;726;14726;Valdallière;14;065;14065;Bernières-le-Patry;524;6;530
14;579;14579;Seulline;14;073;14073;La Bigne;212;3;215
14;005;14005;Valambray;14;074;14074;Billy;393;9;402
14;654;14654;Saint-Pierre-en-Auge;14;081;14081;Boissey;201;1;202
14;098;14098;Thue et Mue;14;098;14098;Bretteville-l'Orgueilleuse;3051;34;3085
14;654;14654;Saint-Pierre-en-Auge;14;099;14099;Bretteville-sur-Dives;267;5;272
14;576;14576;Val-de-Vie;14;105;14105;La Brévière;112;2;114
14;098;14098;Thue et Mue;14;109;14109;Brouay;463;5;468
14;266;14266;Feuguerolles-Bully;14;112;14112;Bully;255;5;260
14;726;14726;Valdallière;14;113;14113;Burcy;392;6;398
14;712;14712;Troarn;14;114;14114;Bures-sur-Dives;389;5;394
14;061;14061;Souleuvre en Bocage;14;115;14115;Bures-les-Monts;139;1;140
14;027;14027;Les Monts d'Aunay;14;128;14128;Campandré-Valcongrain;89;4;93
14;061;14061;Souleuvre en Bocage;14;129;14129;Campeaux;639;7;646
14;061;14061;Souleuvre en Bocage;14;139;14139;Carville;334;5;339
14;342;14342;Isigny-sur-Mer;14;142;14142;Castilly;287;4;291
14;143;14143;Caumont-sur-Aure;14;143;14143;Caumont-l'Éventé;1357;18;1375
14;689;14689;Thury-Harcourt-le-Hom;14;144;14144;Caumont-sur-Orne;74;1;75
14;371;14371;Livarot-Pays-d'Auge;14;148;14148;Cerqueux;82;4;86
14;150;14150;Cesny-les-Sources;14;150;14150;Cesny-Bois-Halbout;622;8;630
14;658;14658;Noues de Sienne;14;151;14151;Champ-du-Boult;369;3;372
14;174;14174;Condé-en-Normandie;14;152;14152;La Chapelle-Engerbold;90;1;91
14;576;14576;Val-de-Vie;14;153;14153;La Chapelle-Haute-Grue;72;1;73
14;570;14570;Valorbiquet;14;154;14154;La Chapelle-Yvon;559;7;566
14;371;14371;Livarot-Pays-d'Auge;14;155;14155;Cheffreville-Tonnencourt;289;6;295
14;726;14726;Valdallière;14;156;14156;Chênedollé;221;2;223
14;098;14098;Thue et Mue;14;157;14157;Cheux;1525;15;1540
14;456;14456;Moult-Chicheboville;14;158;14158;Chicheboville;579;10;589
14;349;14349;Laize-Clinchamps;14;164;14164;Clinchamps-sur-Orne;1337;18;1355
14;174;14174;Condé-en-Normandie;14;174;14174;Condé-sur-Noireau;4297;292;4589
14;005;14005;Valambray;14;176;14176;Conteville;89;2;91
14;762;14762;Vire Normandie;14;187;14187;Coulonces;757;35;792
14;579;14579;Seulline;14;188;14188;Coulvain;389;3;392
14;431;14431;Mézidon Vallée d'Auge;14;189;14189;Coupesarte;42;2;44
14;658;14658;Noues de Sienne;14;192;14192;Courson;387;4;391
14;431;14431;Mézidon Vallée d'Auge;14;201;14201;Crèvecœur-en-Auge;474;5;479
14;431;14431;Mézidon Vallée d'Auge;14;208;14208;Croissanville;528;4;532
14;371;14371;Livarot-Pays-d'Auge;14;210;14210;La Croupte;114;2;116
14;689;14689;Thury-Harcourt-le-Hom;14;213;14213;Curcy-sur-Orne;463;9;472
14;672;14672;Val de Drôme;14;217;14217;Dampierre;154;0;154
14;027;14027;Les Monts d'Aunay;14;219;14219;Danvou-la-Ferrière;157;6;163
14;726;14726;Valdallière;14;222;14222;Le Désert;72;0;72
14;735;14735;Vendeuvre;14;247;14247;Escures-sur-Favières;389;7;396
14;726;14726;Valdallière;14;253;14253;Estry;342;6;348
14;061;14061;Souleuvre en Bocage;14;255;14255;Étouvy;255;11;266
14;371;14371;Livarot-Pays-d'Auge;14;259;14259;Familly;114;5;119
14;061;14061;Souleuvre en Bocage;14;264;14264;La Ferrière-Harang;318;3;321
14;371;14371;Livarot-Pays-d'Auge;14;265;14265;Fervaques;707;14;721
14;011;14011;Aurseulles;14;267;14267;Feuguerolles-sur-Seulles;169;1;170
14;005;14005;Valambray;14;268;14268;Fierville-Bray;465;13;478
14;658;14658;Noues de Sienne;14;279;14279;Fontenermont;146;2;148
14;554;14554;Le Castelet;14;294;14294;Garcelles-Secqueville;1081;14;1095
14;658;14658;Noues de Sienne;14;296;14296;Le Gast;166;5;171
14;431;14431;Mézidon Vallée d'Auge;14;313;14313;Grandchamp-le-Château;83;0;83
14;061;14061;Souleuvre en Bocage;14;317;14317;La Graverie;1190;24;1214
14;735;14735;Vendeuvre;14;321;14321;Grisy;108;3;111
14;689;14689;Thury-Harcourt-le-Hom;14;324;14324;Hamars;455;2;457
14;371;14371;Livarot-Pays-d'Auge;14;330;14330;Heurtevent;185;2;187
14;654;14654;Saint-Pierre-en-Auge;14;331;14331;Hiéville;314;7;321
14;538;14538;Castine-en-Plaine;14;339;14339;Hubert-Folie;406;7;413
14;515;14515;Port-en-Bessin-Huppain;14;340;14340;Huppain;412;8;420
14;342;14342;Isigny-sur-Mer;14;342;14342;Isigny-sur-Mer;2488;25;2513
14;347;14347;Dialan sur Chaîne;14;347;14347;Jurques;665;8;673
14;349;14349;Laize-Clinchamps;14;349;14349;Laize-la-Ville;803;14;817
14;672;14672;Val de Drôme;14;350;14350;La Lande-sur-Drôme;68;1;69
14;543;14543;Rots;14;356;14356;Lasson;653;15;668
14;357;14357;Terres de Druance;14;357;14357;Lassy;311;8;319
14;431;14431;Mézidon Vallée d'Auge;14;359;14359;Lécaude;129;2;131
14;174;14174;Condé-en-Normandie;14;361;14361;Lénault;173;3;176
14;371;14371;Livarot-Pays-d'Auge;14;371;14371;Livarot;2010;27;2037
14;143;14143;Caumont-sur-Aure;14;372;14372;Livry;750;6;756
14;475;14475;Val d'Arry;14;373;14373;Le Locheur;253;4;257
14;011;14011;Aurseulles;14;376;14376;Longraye;195;2;197
14;431;14431;Mézidon Vallée d'Auge;14;386;14386;Magny-la-Campagne;578;6;584
14;431;14431;Mézidon Vallée d'Auge;14;387;14387;Magny-le-Freule;335;4;339
14;762;14762;Vire Normandie;14;388;14388;Maisoncelles-la-Jourdan;477;22;499
14;061;14061;Souleuvre en Bocage;14;395;14395;Malloué;22;0;22
14;347;14347;Dialan sur Chaîne;14;413;14413;Le Mesnil-Auzouf;347;4;351
14;371;14371;Livarot-Pays-d'Auge;14;414;14414;Le Mesnil-Bacley;192;10;202
14;658;14658;Noues de Sienne;14;415;14415;Le Mesnil-Benoist;49;1;50
14;658;14658;Noues de Sienne;14;416;14416;Le Mesnil-Caussois;114;4;118
14;658;14658;Noues de Sienne;14;417;14417;Mesnil-Clinchamps;925;19;944
14;371;14371;Livarot-Pays-d'Auge;14;418;14418;Le Mesnil-Durand;295;5;300
14;371;14371;Livarot-Pays-d'Auge;14;420;14420;Le Mesnil-Germain;258;4;262
14;431;14431;Mézidon Vallée d'Auge;14;422;14422;Le Mesnil-Mauger;989;21;1010
14;098;14098;Thue et Mue;14;423;14423;Le Mesnil-Patry;394;5;399
14;371;14371;Livarot-Pays-d'Auge;14;429;14429;Meulles;350;4;354
14;431;14431;Mézidon Vallée d'Auge;14;431;14431;Mézidon-Canon;4780;46;4826
14;475;14475;Val d'Arry;14;432;14432;Missy;544;8;552
14;654;14654;Saint-Pierre-en-Auge;14;433;14433;Mittois;128;7;135
14;061;14061;Souleuvre en Bocage;14;440;14440;Montamy;91;2;93
14;061;14061;Souleuvre en Bocage;14;441;14441;Mont-Bertrand;229;5;234
14;726;14726;Valdallière;14;442;14442;Montchamp;531;9;540
14;061;14061;Souleuvre en Bocage;14;443;14443;Montchauvet;379;5;384
14;431;14431;Mézidon Vallée d'Auge;14;444;14444;Monteille;151;3;154
14;654;14654;Saint-Pierre-en-Auge;14;450;14450;Montviette;201;0;201
14;456;14456;Moult-Chicheboville;14;456;14456;Moult;2799;40;2839
14;371;14371;Livarot-Pays-d'Auge;14;459;14459;Les Moutiers-Hubert;39;0;39
14;342;14342;Isigny-sur-Mer;14;462;14462;Neuilly-la-Forêt;429;5;434
14;371;14371;Livarot-Pays-d'Auge;14;471;14471;Notre-Dame-de-Courson;362;6;368
14;654;14654;Saint-Pierre-en-Auge;14;472;14472;L'Oudon;1511;265;1776
14;475;14475;Val d'Arry;14;475;14475;Noyers-Bocage;1276;24;1300
14;027;14027;Les Monts d'Aunay;14;477;14477;Ondefontaine;316;4;320
14;011;14011;Aurseulles;14;479;14479;Orbois;157;1;158
14;342;14342;Isigny-sur-Mer;14;481;14481;Les Oubeaux;220;2;222
14;654;14654;Saint-Pierre-en-Auge;14;489;14489;Ouville-la-Bien-Tournée;246;3;249
14;431;14431;Mézidon Vallée d'Auge;14;493;14493;Percy-en-Auge;233;1;234
14;726;14726;Valdallière;14;503;14503;Pierres;212;8;220
14;150;14150;Cesny-les-Sources;14;505;14505;Placy;165;4;169
14;027;14027;Les Monts d'Aunay;14;508;14508;Le Plessis-Grimoult;321;7;328
14;005;14005;Valambray;14;517;14517;Poussy-la-Campagne;87;2;89
14;371;14371;Livarot-Pays-d'Auge;14;518;14518;Préaux-Saint-Sébastien;37;3;40
14;726;14726;Valdallière;14;521;14521;Presles;267;4;271
14;174;14174;Condé-en-Normandie;14;523;14523;Proussy;372;9;381
14;098;14098;Thue et Mue;14;525;14525;Putot-en-Bessin;420;1;421
14;527;14527;Belle Vie en Auge;14;527;14527;Biéville-Quétiéville;363;3;366
14;061;14061;Souleuvre en Bocage;14;532;14532;Le Reculey;293;7;300
14;046;14046;Bavent;14;537;14537;Robehomme;257;3;260
14;538;14538;Castine-en-Plaine;14;538;14538;Rocquancourt;1041;21;1062
14;726;14726;Valdallière;14;539;14539;La Rocque;83;0;83
14;543;14543;Rots;14;543;14543;Rots;1410;29;1439
14;027;14027;Les Monts d'Aunay;14;544;14544;Roucamps;219;2;221
14;762;14762;Vire Normandie;14;545;14545;Roullours;800;37;837
14;726;14726;Valdallière;14;549;14549;Rully;214;1;215
14;591;14591;Aure sur Mer;14;551;14551;Russy;173;3;176
14;554;14554;Le Castelet;14;554;14554;Saint-Aignan-de-Cramesnil;691;8;699
14;231;14231;Beaufour-Druval;14;560;14560;Saint-Aubin-Lébizay;112;3;115
14;726;14726;Valdallière;14;564;14564;Saint-Charles-de-Percy;194;2;196
14;098;14098;Thue et Mue;14;568;14568;Sainte-Croix-Grand-Tonne;316;3;319
14;570;14570;Valorbiquet;14;570;14570;Saint-Cyr-du-Ronceray;721;7;728
14;061;14061;Souleuvre en Bocage;14;573;14573;Saint-Denis-Maisoncelles;127;5;132
14;576;14576;Val-de-Vie;14;576;14576;Sainte-Foy-de-Montgommery;165;2;167
14;579;14579;Seulline;14;579;14579;Saint-Georges-d'Aunay;703;18;721
14;654;14654;Saint-Pierre-en-Auge;14;580;14580;Saint-Georges-en-Auge;82;2;84
14;011;14011;Aurseulles;14;581;14581;Saint-Germain-d'Ectot;313;6;319
14;576;14576;Val-de-Vie;14;583;14583;Saint-Germain-de-Montgommery;163;8;171
14;762;14762;Vire Normandie;14;584;14584;Saint-Germain-de-Tallevende-la-Lande-Vaumont;1945;91;2036
14;174;14174;Condé-en-Normandie;14;585;14585;Saint-Germain-du-Crioult;896;19;915
14;591;14591;Aure sur Mer;14;591;14591;Sainte-Honorine-des-Pertes;536;8;544
14;672;14672;Val de Drôme;14;596;14596;Saint-Jean-des-Essartiers;234;4;238
14;357;14357;Terres de Druance;14;597;14597;Saint-Jean-le-Blanc;346;4;350
14;570;14570;Valorbiquet;14;599;14599;Saint-Julien-de-Mailloc;452;8;460
14;431;14431;Mézidon Vallée d'Auge;14;600;14600;Saint-Julien-le-Faucon;682;9;691
14;527;14527;Belle Vie en Auge;14;608;14608;Saint-Loup-de-Fribois;180;5;185
14;658;14658;Noues de Sienne;14;611;14611;Saint-Manvieu-Bocage;534;17;551
14;371;14371;Livarot-Pays-d'Auge;14;615;14615;Sainte-Marguerite-des-Loges;177;1;178
